AzureStorageInstanceResponse
38
82
123
41
0
86
21
5
7
72
37
26
11
0
17
159
8
10
5
13
1
45
41
31
59
28
49
73
130
170
336
74
118
155
166
191
198
231
190
157
125
269
93
121
168
230
200
77
189
37
348
263
71
AppEngineInstanceResponse
370
34
189
62
106
140
76
44
370
181
218
153
174
266
217
267
269
265
181
212
205
280
273
218
285
216
129
AmazonInstanceResponse
228
218
268
298
140
290
251
132
256
205
270
206
251
227
258
148
156
296
207
251
134
263
92
315
34
