AzureStorageBinaryFileWrite
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
AmazonBinaryFileWrite
4
5
3
3
4
5
3
3
